,run,agentID,suspect,victim,thief,DNAatCS,locCS,statement,experiment_name,runs
4,51,4,0,0,0,0,0,0,thief,200
5,51,5,0,0,0,0,0,0,thief,200
6,51,6,0,0,0,1,0,0,thief,200
7,51,7,0,0,0,0,0,0,thief,200
8,51,8,0,0,0,1,0,0,thief,200
9,51,9,0,0,0,0,0,0,thief,200
0,52,0,1,0,1,1,1,1,thief,200
1,52,1,0,0,0,0,0,0,thief,200
2,52,2,0,0,0,0,0,0,thief,200
3,52,3,0,0,0,0,0,0,thief,200
4,52,4,0,1,0,0,1,1,thief,200
5,52,5,0,0,0,0,0,0,thief,200
6,52,6,0,0,0,0,0,0,thief,200
7,52,7,0,0,0,1,0,0,thief,200
8,52,8,0,0,0,0,0,0,thief,200
9,52,9,0,0,0,0,0,0,thief,200
0,53,0,1,0,1,1,0,0,thief,200
1,53,1,0,0,0,0,0,0,thief,200
2,53,2,0,0,0,1,0,0,thief,200
3,53,3,0,0,0,0,0,0,thief,200
4,53,4,0,0,0,1,0,0,thief,200
5,53,5,0,0,0,0,0,0,thief,200
6,53,6,0,0,0,0,0,0,thief,200
7,53,7,0,0,0,1,0,0,thief,200
8,53,8,0,0,0,0,0,0,thief,200
9,53,9,0,0,0,1,0,0,thief,200
0,54,0,1,0,1,1,1,1,thief,200
1,54,1,0,0,0,0,0,0,thief,200
2,54,2,0,0,0,1,0,0,thief,200
3,54,3,0,0,0,0,0,0,thief,200
4,54,4,0,0,0,0,0,0,thief,200
5,54,5,0,0,0,0,0,0,thief,200
6,54,6,0,0,0,0,0,0,thief,200
7,54,7,0,0,0,0,0,0,thief,200
8,54,8,0,1,0,0,1,1,thief,200
9,54,9,0,0,0,0,0,0,thief,200
0,55,0,1,0,1,1,1,1,thief,200
1,55,1,0,0,0,0,0,0,thief,200
2,55,2,0,0,0,0,0,0,thief,200
3,55,3,0,0,0,0,0,0,thief,200
4,55,4,0,0,0,0,0,0,thief,200
5,55,5,0,0,0,0,0,0,thief,200
6,55,6,0,0,0,0,0,0,thief,200
7,55,7,0,1,0,0,1,1,thief,200
8,55,8,0,0,0,0,0,0,thief,200
9,55,9,0,0,0,0,0,0,thief,200
0,56,0,1,0,1,1,1,1,thief,200
1,56,1,0,0,0,0,0,0,thief,200
2,56,2,0,0,0,0,0,0,thief,200
3,56,3,0,1,0,1,1,1,thief,200
4,56,4,0,0,0,0,0,0,thief,200
5,56,5,0,0,0,0,0,0,thief,200
6,56,6,0,0,0,0,0,0,thief,200
7,56,7,0,0,0,0,0,0,thief,200
8,56,8,0,0,0,0,0,0,thief,200
9,56,9,0,0,0,0,0,0,thief,200
0,57,0,1,0,1,1,1,1,thief,200
1,57,1,0,0,0,0,0,0,thief,200
2,57,2,0,0,0,0,0,0,thief,200
3,57,3,0,0,0,0,0,0,thief,200
4,57,4,0,0,0,1,0,0,thief,200
5,57,5,0,1,0,0,1,1,thief,200
6,57,6,0,0,0,0,0,0,thief,200
7,57,7,0,0,0,0,0,0,thief,200
8,57,8,0,0,0,1,0,0,thief,200
9,57,9,0,0,0,0,0,0,thief,200
0,58,0,1,0,1,1,1,1,thief,200
1,58,1,0,1,0,1,1,1,thief,200
2,58,2,0,0,0,1,0,0,thief,200
3,58,3,0,0,0,1,0,0,thief,200
4,58,4,0,0,0,1,0,0,thief,200
5,58,5,0,0,0,0,0,0,thief,200
6,58,6,0,0,0,0,0,0,thief,200
7,58,7,0,0,0,0,0,0,thief,200
8,58,8,0,0,0,1,0,0,thief,200
9,58,9,0,0,0,0,0,0,thief,200
0,59,0,1,0,1,1,1,1,thief,200
1,59,1,0,0,0,0,1,1,thief,200
2,59,2,0,0,0,0,0,0,thief,200
3,59,3,0,0,0,0,0,0,thief,200
4,59,4,0,0,0,0,0,0,thief,200
5,59,5,0,0,0,0,0,0,thief,200
6,59,6,0,0,0,0,0,0,thief,200
7,59,7,0,0,0,0,0,0,thief,200
8,59,8,0,0,0,0,1,1,thief,200
